B,0,B,90,66,10.213,9.156
B,0,B,120,66,10.213,9.156
H,0,AB,60,66,8.849,7.405
H,0,AB,90,66,8.849,7.405
H,0,AB,120,66,8.849,7.405
E,20,A,60,66,12.927,11.593
E,20,A,90,66,17.087,13.294
E,20,A,120,66,19.003,19.063
B,20,B,60,66,30.273,22.940
B,20,B,90,66,33.485,30.491
B,20,B,120,66,43.859,46.137
H,20,AB,60,66,19.104,15.472
H,20,AB,90,66,29.331,25.193
H,20,AB,120,66,31.248,35.467
E,30,A,60,66,13.758,11.073
E,30,A,90,66,17.450,16.625
E,30,A,120,66,21.061,25.407
B,30,B,60,66,28.477,24.864
B,30,B,90,66,42.227,33.588
B,30,B,120,66,52.493,47.647
H,30,AB,60,66,22.889,17.498
H,30,AB,90,66,34.959,27.770
H,30,AB,120,66,37.495,35.792
E,40,A,60,66,15.932,13.007
E,40,A,90,66,20.822,19.790
E,40,A,120,66,26.913,24.095
B,40,B,60,66,31.514,25.944
B,40,B,90,66,47.605,35.495
B,40,B,120,66,59.693,49.340
H,40,AB,60,66,22.483,20.157
H,40,AB,90,66,40.258,28.916
H,40,AB,120,66,43.686,41.870
G,0,AB,50,50,9.497,5.438
J,40,AB,10,75,14.652,6.672
J,40,AB,10,75,14.791,6.243
G,0,AB,10,50,9.497,5.438
G,30,AB,10,50,14.729,6.040
D,40,A,10,50,12.446,7.331
D,30,A,80,50,15.889,14.803
A,30,B,10,50,20.562,9.423
D,20,A,80,50,14.325,12.649
A,20,B,80,50,36.741,34.337
D,0,A,10,50,8.388,7.633
G,30,AB,80,50,33.752,26.824
D,20,A,80,50,16.197,12.982
J,20,AB,50,75,22.053,12.636
G,0,AB,50,50,10.032,8.087
J,30,AB,10,75,12.383,6.211
D,20,A,10,50,11.041,7.027
G,40,AB,10,50,17.462,6.729
G,40,AB,50,50,26.376,15.793
A,20,B,50,50,29.946,17.224
G,40,AB,80,50,32.699,29.857
J,20,AB,50,75,20.154,13.773
G,0,AB,10,50,10.032,8.087
G,20,AB,80,50,29.302,21.947
A,30,B,10,50,21.151,10.115
J,0,AB,80,75,5.643,5.570
D,0,A,50,50,8.388,7.633
A,20,B,50,50,28.192,16.449
J,30,AB,50,75,22.982,13.934
A,20,B,80,50,36.679,31.353
G,40,AB,50,50,26.365,14.941
D,40,A,80,50,18.309,15.836
A,20,B,50,50,29.587,17.467
J,30,AB,80,75,29.882,26.468
D,30,A,50,50,15.966,11.918
J,40,AB,10,75,13.824,6.684
A,0,B,10,50,7.118,8.457
J,30,AB,80,75,30.826,23.795
D,40,A,10,50,13.210,8.042
A,30,B,50,50,29.049,23.014
D,30,A,80,50,16.283,17.566
G,0,AB,80,50,9.497,5.438
D,40,A,50,50,17.681,11.898
G,20,AB,80,50,25.458,21.297
G,40,AB,80,50,32.545,30.518
J,0,AB,80,75,11.072,5.020
J,30,AB,10,75,12.858,6.191
G,20,AB,80,50,28.071,24.983
G,30,AB,50,50,23.650,14.153
A,0,B,10,50,11.526,8.132
G,20,AB,50,50,21.270,12.696
G,0,AB,10,50,8.701,6.016
J,0,AB,10,75,5.643,5.570
J,40,AB,80,75,36.264,28.703
A,40,B,80,50,43.427,40.833
G,30,AB,80,50,33.624,26.190
D,20,A,10,50,11.699,7.191
J,40,AB,50,75,27.595,15.849
G,0,AB,80,50,10.032,8.087
A,30,B,80,50,40.094,36.772
J,40,AB,80,75,29.235,27.018
D,0,A,80,50,8.388,7.633
A,30,B,80,50,42.546,36.701
A,30,B,80,50,43.647,33.458
D,20,A,50,50,13.670,12.241
D,20,A,50,50,13.929,11.122
G,0,AB,80,50,8.701,6.016
A,40,B,10,50,23.337,9.707
G,20,AB,50,50,20.810,13.799
G,40,AB,50,50,24.493,15.064
A,40,B,80,50,43.300,35.650
A,20,B,80,50,37.641,35.841
J,30,AB,50,75,24.436,15.402
G,30,AB,50,50,23.700,13.729
D,20,A,50,50,15.239,11.662
A,40,B,50,50,30.330,28.930
J,0,AB,10,75,11.072,5.020
A,30,B,10,50,21.753,9.989
D,30,A,10,50,11.500,7.116
D,0,A,50,50,11.075,7.020
J,0,AB,50,75,5.643,5.570
A,0,B,80,50,7.118,8.457
